name,rank,marketcap,country,share_price,change1d,change1y,categories
amorepacific,1872,7190000000.0,south-korea,115.0,-0.69%,-7.76%,cosmetics 
davita,1876,7180000000.0,usa,79.0,0.81%,-31.47%,healthcare 
meiji holdings,1883,7140000000.0,japan,50.0,0.15%,-17.76%,dairy food beverages 
makita,1881,7150000000.0,japan,26.0,1.64%,-37.67%,tool-manufacturers manufacturing 
roku,1879,7170000000.0,usa,51.0,0.94%,-69.24%,electronics tech tech-hardware 
valmont industries,1874,7180000000.0,usa,337.0,0.91%,40.18%,manufacturing 
gitlab,1875,7180000000.0,usa,48.0,2.30%,-25.07%,software tech 
skanska,1873,7180000000.0,sweden,17.0,1.03%,-31.91%,construction 
globant,1861,7240000000.0,,173.0,0.68%,-31.06%,software tech 
clarivate,1868,7200000000.0,united-kingdom,10.0,0.71%,-40.64%,tech software 
yes bank,1869,7200000000.0,india,0.0,1.24%,31.58%,banks financial-services 
indian overseas bank,1866,7210000000.0,india,0.0,-1.43%,35.71%,banks financial-services 
mohawk industries,1867,7200000000.0,usa,113.0,2.01%,-33.59%,
dws group,1863,7220000000.0,germany,36.0,0.67%,-18.67%,
kt corporation,1862,7240000000.0,south-korea,14.0,0.75%,6.91%,telecommunication 
baloise,1870,7200000000.0,switzerland,159.0,-1.47%,-9.35%,insurance 
autoliv,1865,7210000000.0,sweden,83.0,2.45%,-23.05%,automotive-suppliers 
icici lombard,1859,7250000000.0,india,14.0,-3.93%,-23.31%,insurance 
idemitsu kosan,1857,7260000000.0,japan,24.0,1.61%,-11.39%,oil-gas energy 
medpace,1860,7250000000.0,usa,233.0,2.05%,32.14%,
ooredoo,1864,7220000000.0,united-arab-emirates,2.0,0.00%,30.81%,telecommunication 
china development financial,1858,7250000000.0,taiwan,0.0,0.38%,-37.68%,banks financial-services 
jfe holdings,1871,7190000000.0,japan,12.0,0.94%,-15.02%,steel-producers steel-industry 
indorama ventures,1856,7260000000.0,thailand,1.0,1.74%,-11.19%,
idbi bank,1854,7270000000.0,india,0.0,0.00%,-2.86%,banks financial-services 
itt,1853,7280000000.0,usa,88.0,1.49%,-11.55%,
nestle malaysia,1846,7310000000.0,malaysia,31.0,-0.15%,-2.44%,food 
matador resources,1851,7280000000.0,usa,61.0,2.85%,36.10%,energy oil-gas 
erdemir,1845,7310000000.0,turkey,2.0,-0.93%,-4.85%,steel-producers steel-industry 
new world development company,1849,7290000000.0,hong-kong,2.0,-1.31%,-26.21%,real-estate 
saudi international petrochemical company sipchem,1848,7300000000.0,saudi-arabia,9.0,3.60%,-17.34%,chemicals 
globus medical,1850,7290000000.0,usa,73.0,0.25%,-0.49%,
dolby,1855,7270000000.0,usa,76.0,0.69%,-17.23%,
generac power systems,1842,7330000000.0,usa,115.0,1.14%,-62.19%,manufacturing 
tele2,1852,7280000000.0,sweden,11.0,0.00%,-25.07%,telecommunication 
igm financial,1844,7330000000.0,canada,30.0,0.51%,-19.28%,asset-management financial-services 
old republic international,1843,7330000000.0,usa,24.0,-0.14%,-7.54%,
daito trust construction,1841,7340000000.0,japan,107.0,0.43%,-8.35%,construction real-estate 
zozo,1847,7310000000.0,japan,24.0,2.77%,-11.34%,e-commerce internet tech 
chemed,1840,7350000000.0,usa,494.0,-0.22%,1.94%,healthcare 
singapore exchange,1827,7440000000.0,singapore,6.0,1.10%,-2.52%,stock-exchanges financial-services exchanges 
berry global,1828,7440000000.0,usa,61.0,0.33%,-15.78%,
inspire medical systems,1833,7410000000.0,usa,256.0,0.34%,7.98%,
sabesp,1832,7410000000.0,brazil,10.0,-0.05%,70.14%,
unipolsai,1838,7370000000.0,italy,2.0,0.50%,-10.00%,financial-services 
oci,1836,7380000000.0,netherlands,35.0,-0.43%,24.28%,chemicals fertilizer 
nrg energy,1830,7440000000.0,usa,32.0,0.47%,-21.01%,
united spirits,1834,7400000000.0,india,10.0,-0.16%,-17.86%,beverages alcoholic-beverages 
planet fitness,1829,7440000000.0,usa,83.0,0.63%,-4.25%,sports 
aptargroup,1825,7460000000.0,usa,114.0,0.30%,-5.59%,
orkla,1835,7380000000.0,norway,7.0,0.00%,-24.77%,consumer-goods 
whitbread,1831,7420000000.0,united-kingdom,36.0,-0.66%,-14.71%,hotels travel 
merdeka copper gold,1826,7460000000.0,indonesia,0.0,-2.89%,10.71%,mining 
etihad etisalat mobily,1839,7360000000.0,saudi-arabia,9.0,1.56%,12.74%,telecommunication 
cemex,1837,7370000000.0,mexico,5.0,0.88%,-26.19%,cement building-materials 
banco santander-chile,1815,7510000000.0,chile,15.0,1.46%,-15.65%,banks financial-services 
jindal steel & power,1809,7540000000.0,india,7.0,2.59%,31.44%,steel-producers steel-industry 
zions bancorporation,1817,7500000000.0,usa,50.0,-1.42%,-29.03%,
aisin seiki,1812,7530000000.0,japan,27.0,0.84%,-34.13%,automotive-suppliers 
cpfl energia,1823,7480000000.0,brazil,6.0,1.19%,38.09%,electricity utility-companies energy 
mastec,1813,7520000000.0,usa,96.0,1.18%,-0.23%,engineering 
pandora,1819,7490000000.0,denmark,83.0,-0.03%,-29.28%,luxury-goods 
procore,1818,7490000000.0,usa,54.0,1.67%,-20.09%,tech software construction 
donaldson,1820,7490000000.0,usa,61.0,0.70%,3.86%,
concentrix,1821,7490000000.0,usa,145.0,1.38%,-12.99%,it-services professional-services 
shanghai commercial and savings bank,1811,7540000000.0,taiwan,1.0,0.64%,-11.36%,banks financial-services 
rtl group,1816,7500000000.0,,48.0,0.18%,-14.54%,
arabian internet and communications services,1810,7540000000.0,saudi-arabia,63.0,-1.32%,11.85%,it-services 
melrose industries,1824,7470000000.0,united-kingdom,1.0,0.40%,-20.69%,manufacturing investment 
alfamart,1822,7480000000.0,indonesia,0.0,0.37%,125.00%,retail 
nippon building fund,1814,7510000000.0,japan,4.0,2.33%,-24.13%,real-estate investment 
genscript biotech,1807,7550000000.0,china,3.0,3.33%,-9.85%,genomics biotech 
bkw ag,1796,7640000000.0,switzerland,144.0,0.30%,16.81%,energy electricity utility-companies 
orion corporation,1802,7600000000.0,finland,54.0,0.30%,32.73%,pharmaceuticals biotech 
chubu electric power,1808,7550000000.0,japan,9.0,0.94%,-6.81%,electricity utility-companies energy 
misc berhad,1797,7630000000.0,malaysia,1.0,1.37%,3.01%,transportation maritime-transportation 
amkor technology,1806,7570000000.0,usa,30.0,0.95%,23.81%,
rohm,1798,7620000000.0,japan,77.0,2.03%,-18.79%,semiconductors tech 
woori financial group,1794,7640000000.0,south-korea,31.0,0.25%,-17.14%,banks financial-services 
abb india,1800,7610000000.0,india,35.0,1.58%,15.19%,engineering 
wacker chemie,1799,7620000000.0,germany,153.0,1.07%,-10.19%,chemicals 
iridium communications,1792,7650000000.0,usa,60.0,0.51%,62.74%,telecommunication 
kingdom holding,1803,7600000000.0,saudi-arabia,2.0,-0.26%,-25.72%,investment 
tokyu,1793,7650000000.0,japan,12.0,1.99%,-3.35%,railways transportation 
symbotic,1804,7590000000.0,usa,13.0,0.29%,37.46%,robotics tech 
elbit systems,1795,7640000000.0,israel,172.0,-1.16%,-3.25%,
arkema,1805,7590000000.0,france,101.0,0.54%,-34.11%,chemicals 
sinopharm,1787,7680000000.0,china,2.0,-0.62%,4.24%,pharmaceuticals 
aselsan,1782,7720000000.0,turkey,3.0,7.98%,88.33%,defense-contractors 
new fortress energy,1791,7670000000.0,usa,36.0,-1.21%,52.51%,
canadian utilities,1790,7670000000.0,canada,28.0,-0.05%,0.39%,
hess midstream,1789,7670000000.0,usa,32.0,1.20%,5.89%,oil-gas energy 
olin,1780,7730000000.0,usa,56.0,1.90%,1.79%,
wh group,1778,7730000000.0,hong-kong,0.0,-0.42%,-3.23%,food 
apollo hospitals,1788,7670000000.0,india,53.0,0.39%,-19.12%,healthcare medical-care-facilities 
diasorin,1776,7740000000.0,italy,141.0,-0.19%,-16.44%,
ciena,1779,7730000000.0,usa,52.0,1.97%,-27.02%,telecommunication telecommunications-equipment 
monotaro,1783,7700000000.0,japan,15.0,3.51%,-12.37%,e-commerce internet tech 
acadia healthcare,1777,7730000000.0,usa,85.0,0.65%,47.61%,
mitsubishi chemical holdings,1784,7700000000.0,japan,5.0,1.32%,-31.65%,chemicals 
punjab national bank,1785,7690000000.0,india,0.0,-1.73%,29.63%,banks financial-services 
phoenix group,1786,7680000000.0,united-kingdom,7.0,-0.25%,-18.12%,insurance 
bajaj holdings & investment,1781,7720000000.0,india,69.0,-0.91%,-6.02%,investment 
grifols,1763,7810000000.0,spain,9.0,2.48%,-26.33%,
fosun,1767,7780000000.0,china,0.0,0.82%,-13.64%,conglomerate 
ocado,1771,7770000000.0,united-kingdom,9.0,5.08%,-52.81%,retail e-commerce internet tech food 
edison,1775,7740000000.0,italy,1.0,0.34%,-9.50%,oil-gas energy utility-companies 
manhattan associates,1772,7760000000.0,usa,124.0,0.95%,-8.67%,
shoprite,1765,7800000000.0,south-africa,14.0,0.99%,16.16%,retail supermarkets 
wex,1764,7800000000.0,usa,179.0,1.13%,13.87%,financial-services 
rational ag,1773,7750000000.0,germany,682.0,0.56%,-25.04%,home-and-kitchen-appliances 
dish network,1766,7790000000.0,usa,14.0,1.28%,-59.42%,telecommunication 
agc,1768,7780000000.0,japan,35.0,1.45%,-23.62%,
ncsoft,1769,7780000000.0,south-korea,383.0,1.72%,-22.53%,video-games tech entertainment 
auckland airport,1761,7820000000.0,new-zealand,5.0,0.39%,1.33%,airports infrastructure 
goto,1774,7740000000.0,indonesia,0.0,0.00%,,internet tech e-commerce financial-services 
sinopac financial holdings,1760,7840000000.0,taiwan,0.0,2.01%,-3.28%,financial-services banks 
rakuten,1770,7770000000.0,japan,4.0,1.12%,-47.87%,e-commerce internet tech 
s-oil,1762,7820000000.0,south-korea,68.0,-0.82%,-13.54%,oil-gas energy 
japan exchange group,1755,7870000000.0,japan,14.0,2.23%,-30.73%,stock-exchanges financial-services exchanges 
petgas petronas gas,1759,7850000000.0,malaysia,3.0,-1.04%,0.00%,oil-gas energy utility-companies infrastructure 
sealed air,1754,7880000000.0,usa,54.0,0.98%,-19.53%,
xero,1757,7860000000.0,new-zealand,51.0,2.49%,-39.92%,tech software 
megacable holdings,1752,7890000000.0,mexico,3.0,0.45%,-9.94%,telecommunication 
raiadrogasil,1758,7850000000.0,brazil,4.0,1.33%,28.57%,
nissin foods,1753,7880000000.0,japan,77.0,0.30%,9.79%,food 
gail,1756,7860000000.0,india,1.0,-0.21%,-38.46%,oil-gas utility-companies energy 
oge energy,1751,7910000000.0,usa,39.0,-0.06%,3.99%,
fortune brands home & security,1747,7920000000.0,usa,61.0,-2.09%,-39.00%,
tetra tech,1737,8050000000.0,usa,151.0,0.74%,2.82%,professional-services engineering 
ralph lauren,1741,7980000000.0,usa,121.0,1.47%,5.38%,
srf limited,1750,7910000000.0,india,26.0,-0.87%,-24.79%,
ccl industries,1743,7960000000.0,canada,44.0,0.47%,-16.39%,packaging 
allegroeu,1746,7920000000.0,poland,7.0,3.05%,-29.51%,e-commerce tech internet 
healthcare realty,1739,8010000000.0,usa,21.0,0.14%,-33.09%,healthcare reit real-estate investment medical-care-facilities 
americana restaurants international,1744,7950000000.0,united-arab-emirates,0.0,0.58%,,restaurant-chains food 
signature bank,1748,7910000000.0,usa,125.0,3.84%,-65.56%,
pershing square holdings,1742,7970000000.0,usa,37.0,0.31%,-3.14%,
skf svenska kullagerfabriken,1745,7950000000.0,sweden,17.0,2.23%,-30.07%,
china gas,1736,8050000000.0,china,1.0,-0.86%,-23.71%,oil-gas energy 
robinhood,1738,8029999999.0,usa,9.0,0.95%,-36.65%,financial-services internet tech 
gea group,1749,7910000000.0,germany,44.0,0.59%,-10.28%,
dentsply sirona,1740,7980000000.0,usa,37.0,0.92%,-31.11%,
crocs,1735,8050000000.0,usa,130.0,1.87%,6.45%,footwear manufacturing 
st engineering,1729,8109999999.0,singapore,2.0,0.00%,-4.04%,
xpeng,1727,8130000000.0,china,9.0,1.47%,-80.89%,automakers electric-vehicles manufacturing autonomous-driving 
middleby,1732,8080000000.0,usa,149.0,0.68%,-23.97%,
unum,1730,8090000000.0,usa,40.0,-1.00%,44.88%,insurance 
coty,1728,8119999999.0,usa,9.0,0.41%,7.04%,flavors-and-fragrances cosmetics luxury-goods consumer-goods 
hamamatsu,1734,8050000000.0,japan,52.0,0.45%,-4.41%,
indofood cbp,1733,8060000000.0,indonesia,0.0,1.21%,13.11%,food 
francaise des jeux,1711,8240000000.0,france,43.0,0.53%,2.66%,gambling entertainment 
webster financial,1724,8150000000.0,usa,46.0,-1.72%,-26.98%,banks financial-services 
yamaha motor,1715,8220000000.0,japan,24.0,2.95%,-3.91%,motorcycle-manufacturers manufacturing 
tata power,1722,8160000000.0,india,2.0,-0.10%,-23.42%,electricity utility-companies energy 
grupo acs,1721,8160000000.0,spain,30.0,0.28%,12.70%,engineering construction 
wharf holdings,1723,8150000000.0,hong-kong,2.0,-0.48%,-15.51%,real-estate 
agilon health,1718,8210000000.0,usa,19.0,0.99%,1.76%,healthcare 
dino polska,1713,8230000000.0,poland,83.0,0.11%,-3.73%,retail supermarkets 
royal gold,1719,8170000000.0,usa,124.0,0.50%,25.06%,mining gold-mining silver-mining 
lear corporation,1714,8220000000.0,usa,139.0,1.74%,-27.13%,
accor,1716,8220000000.0,france,31.0,2.68%,-14.92%,hotels travel 
medical properties trust,1720,8160000000.0,usa,13.0,0.48%,-43.41%,real-estate 
banque cantonale vaudoise,1725,8140000000.0,switzerland,94.0,-0.79%,13.99%,banks financial-services 
organon,1717,8220000000.0,usa,32.0,0.75%,-1.64%,pharmaceuticals biotech 
capri holdings,1712,8230000000.0,united-kingdom,63.0,0.96%,10.16%,clothing 
ally,1726,8130000000.0,usa,27.0,0.80%,-48.22%,banks financial-services 
korea zinc,1710,8250000000.0,south-korea,442.0,-0.55%,-4.08%,
hasbro,1599,9010000000.0,usa,65.0,-0.20%,-34.79%,
doosan enerbility,1709,8250000000.0,south-korea,12.0,-1.84%,-22.34%,energy 
sk telecom,1704,8289999999.0,south-korea,21.0,0.76%,-20.66%,telecommunication 
penumbra,1600,9000000000.0,usa,237.0,1.75%,-0.16%,medical-devices 
grupo aeroportuario del sureste,1708,8260000000.0,mexico,275.0,0.96%,27.75%,airports infrastructure 
antero resources,1595,9040000000.0,usa,30.0,0.03%,50.37%,oil-gas oil-gas-equipment-services 
telefonica deutschland o2,1706,8289999999.0,germany,2.0,-0.93%,-3.46%,telecommunication 
us foods,1702,8300000000.0,usa,36.0,-0.01%,-0.09%,food 
switch,1707,8270000000.0,usa,34.0,0.06%,32.96%,
pure storage,1703,8289999999.0,usa,27.0,1.07%,-0.58%,tech 
mondi,1598,9010000000.0,united-kingdom,18.0,0.20%,-28.70%,pulp-and-paper manufacturing 
vipshop,1593,9060000000.0,china,14.0,-0.27%,59.96%,e-commerce tech internet retail 
mowi,1597,9010000000.0,norway,16.0,0.00%,-30.02%,food 
adani wilmar,1594,9050000000.0,india,6.0,-1.09%,,food 
avis budget group,1705,8289999999.0,usa,200.0,2.81%,2.40%,car-rental 
f5 networks,1596,9020000000.0,usa,149.0,1.68%,-36.66%,software tech it-security 
abu dhabi islamic bank adib,1590,9090000000.0,united-arab-emirates,2.0,-0.11%,33.69%,banks financial-services 
kesko,1581,9180000000.0,finland,22.0,-3.22%,-22.35%,retail supermarkets 
a o smith,1582,9170000000.0,usa,60.0,0.07%,-25.44%,
getlink,1585,9120000000.0,france,16.0,1.77%,3.69%,railways transportation 
sumitomo denki kogyo,1584,9140000000.0,japan,11.0,1.41%,-19.28%,
federal realty investment trust,1589,9100000000.0,usa,111.0,0.30%,-16.31%,
china oilfield services,1579,9190000000.0,china,1.0,-1.31%,23.76%,oil-gas energy 
largan precision,1583,9140000000.0,taiwan,68.0,1.22%,-9.27%,electronics 
nitto denko,1578,9200000000.0,japan,62.0,3.75%,-21.30%,manufacturing 
logitech,1587,9120000000.0,switzerland,56.0,2.86%,-33.55%,tech tech-hardware 
floor & decor,1577,9210000000.0,usa,86.0,3.35%,-17.83%,
sg holdings,1588,9110000000.0,japan,14.0,1.98%,-34.31%,
store capital,1591,9080000000.0,usa,32.0,-0.05%,-3.93%,
sofina,1586,9120000000.0,belgium,251.0,0.00%,-43.10%,
regal rexnord,1592,9070000000.0,usa,137.0,0.45%,-19.93%,electronics 
mitsui osk lines,1580,9180000000.0,japan,25.0,1.55%,-69.35%,transportation container-shipping maritime-transportation 
fertiglobe,1570,9260000000.0,united-arab-emirates,1.0,-0.73%,8.74%,fertilizer 
bharat petroleum,1575,9230000000.0,india,4.0,-0.67%,-20.96%,
xp inc,1568,9280000000.0,brazil,16.0,2.44%,-42.33%,financial-services 
performance food group,1572,9260000000.0,usa,59.0,0.44%,23.80%,food 
isuzu,1571,9260000000.0,japan,11.0,2.86%,-10.08%,automakers 
international consolidated airlines,1564,9310000000.0,spain,1.0,0.00%,-14.94%,airlines travel transportation 
president chain store pscs,1561,9320000000.0,taiwan,8.0,-0.55%,-7.53%,supermarkets retail 
asx,1562,9310000000.0,australia,48.0,-0.23%,-27.41%,financial-services stock-exchanges exchanges 
schroders,1566,9300000000.0,united-kingdom,5.0,0.85%,-28.32%,asset-management investment 
bharat electronics,1574,9230000000.0,india,1.0,-0.19%,-56.70%,electronics aerospace defense-contractors 
havells india,1569,9270000000.0,india,14.0,2.10%,-17.18%,home-and-kitchen-appliances 
bj's wholesale club,1567,9290000000.0,usa,69.0,0.10%,13.68%,
imcd,1565,9310000000.0,netherlands,163.0,1.69%,-12.64%,
lincoln electric,1576,9210000000.0,usa,159.0,0.04%,17.30%,
black knight,1563,9310000000.0,usa,59.0,-0.25%,-20.19%,financial-services 
knight-swift,1573,9260000000.0,usa,57.0,2.40%,1.50%,transportation 
legend biotech,1560,9320000000.0,usa,55.0,0.97%,34.23%,pharmaceuticals biotech 
jbs,1559,9330000000.0,brazil,4.0,-1.06%,-36.98%,food 
fisher & paykel healthcare,1558,9340000000.0,new-zealand,16.0,2.02%,-25.39%,healthcare medical-devices 
toray industries,1557,9340000000.0,japan,5.0,1.64%,-10.15%,chemicals 
lenovo,1550,9410000000.0,hong-kong,0.0,0.00%,-32.17%,tech tech-hardware electronics 
nov,1553,9390000000.0,usa,23.0,1.46%,44.76%,energy oil-gas 
recordati,1549,9420000000.0,italy,45.0,0.96%,-24.96%,pharmaceuticals biotech 
east west bancorp,1541,9520000000.0,usa,67.0,-1.31%,-25.33%,banks financial-services 
hella,1543,9480000000.0,germany,84.0,0.71%,16.44%,auto-parts automotive-suppliers manufacturing 
central pattana,1555,9370000000.0,thailand,2.0,-0.36%,28.05%,
yuanta financial holding,1556,9370000000.0,taiwan,0.0,0.00%,-20.21%,banks financial-services 
westrock,1547,9440000000.0,usa,37.0,0.07%,-20.86%,packaging 
anglogold ashanti,1552,9400000000.0,south-africa,22.0,1.81%,12.22%,mining gold-mining 
metso outotec mo group,1548,9440000000.0,finland,11.0,3.03%,-3.70%,mining manufacturing machinery-manufacturing 
tingyi master kang,1544,9470000000.0,china,1.0,-1.35%,-18.45%,food 
james hardie industries,1546,9460000000.0,ireland,21.0,0.38%,-42.13%,building-materials 
sig combibloc,1545,9470000000.0,switzerland,24.0,1.14%,-2.40%,packaging 
country garden,1554,9370000000.0,china,0.0,-6.36%,-54.67%,
remy cointreau,1542,9480000000.0,france,188.0,-2.97%,-14.35%,beverages alcoholic-beverages 
nec corp,1551,9410000000.0,japan,35.0,1.45%,-24.05%,electronics tech 
vat group,1539,9530000000.0,switzerland,317.0,2.72%,-28.42%,
reinsurance group of america,1531,9610000000.0,usa,143.0,-0.32%,20.99%,insurance 
keppel,1536,9560000000.0,singapore,5.0,0.56%,40.00%,
ford otosan,1534,9570000000.0,turkey,27.0,0.29%,,manufacturing automakers 
quanta computer,1538,9540000000.0,taiwan,2.0,1.21%,-25.75%,
ipsen,1535,9570000000.0,france,113.0,-1.05%,19.73%,pharmaceuticals biotech 
hong kong telecom,1529,9620000000.0,hong-kong,1.0,0.92%,-6.62%,telecommunication 
northern star,1527,9640000000.0,australia,8.0,-1.71%,27.70%,mining gold-mining 
gjensidige forsikring,1532,9610000000.0,norway,18.0,0.11%,-25.77%,insurance 
zendesk,1530,9620000000.0,usa,77.0,0.03%,-22.84%,software tech 
svenska cellulosa aktiebolaget sca,1533,9600000000.0,sweden,13.0,1.68%,-19.52%,pulp-and-paper 
al dar properties,1540,9520000000.0,united-arab-emirates,1.0,-0.22%,8.04%,real-estate investment 
sage group,1528,9630000000.0,united-kingdom,9.0,1.26%,-15.07%,software tech 
tfi international,1537,9560000000.0,canada,109.0,3.97%,13.61%,transportation delivery-services 
yaskawa,1525,9660000000.0,japan,36.0,2.58%,-15.30%,electronics 
esr,1526,9650000000.0,hong-kong,2.0,-1.50%,-34.63%,real-estate investment 
umicore,1524,9670000000.0,belgium,38.0,0.00%,1.85%,
willscot,1522,9710000000.0,usa,46.0,0.52%,21.13%,
cubesmart,1523,9680000000.0,usa,42.0,1.11%,-16.09%,
cochlear,1521,9720000000.0,australia,147.0,0.83%,0.80%,medical-devices 
allegion,1510,9970000000.0,ireland,113.0,0.68%,-8.76%,
jazz pharmaceuticals,1512,9890000000.0,ireland,157.0,0.84%,8.87%,pharmaceuticals biotech 
varun beverages,1520,9730000000.0,india,14.0,0.58%,18.23%,beverages 
ampol,1515,9800000000.0,australia,20.0,2.23%,-7.30%,energy oil-gas 
hlbank hong leong bank,1509,9970000000.0,malaysia,4.0,0.48%,0.84%,banks financial-services 
full truck alliance,1517,9740000000.0,china,8.0,-8.63%,-0.79%,transportation 
autonation,1511,9920000000.0,usa,112.0,2.55%,2.53%,used-car-retailer car-retail 
interglobe aviation,1513,9880000000.0,india,25.0,0.14%,-11.89%,airlines travel transportation 
